Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
220.77,00:03:40,,,23.98,1.04,25.12,,,1015.00,24.62,30.68
236.66,00:03:56,,,9.72,2.32,22.55,,,1015.00,24.63,30.71
264.51,00:04:24,7.48,560.83,11.21,1.58,17.81,31.76,16.87,1015.00,24.62,30.78
268.95,00:04:28,,,13.43,1.08,14.58,,,1014.90,24.63,30.78
273.67,00:04:33,12.48,936.00,17.72,1.77,31.39,33.54,17.11,1015.00,24.63,30.80
276.47,00:04:36,9.40,705.00,15.40,1.29,20.01,28.38,16.31,1014.90,24.63,30.80
283.5,00:04:43,,,8.46,2.47,20.92,,,1014.90,24.62,30.80
291.24,00:04:51,,,7.69,1.75,13.45,,,1014.90,24.63,30.82
302.06,00:05:02,,,5.62,2.25,12.65,,,1014.90,24.62,30.83
307.37,00:05:07,11.39,854.50,15.16,1.31,19.89,23.28,15.30,1014.90,24.62,30.82
312,00:05:12,,,11.77,0.67,7.96,,,1014.90,24.62,30.84
314.17,00:05:14,10.73,804.83,18.15,1.13,20.58,25.57,15.73,1014.90,24.63,30.84
319.12,00:05:19,10.21,765.67,12.25,1.60,19.71,25.74,15.92,1014.90,24.63,30.84
324.25,00:05:24,10.91,818.17,15.18,1.35,20.62,25.20,15.75,1014.90,24.63,30.84
327.49,00:05:27,,,14.09,1.09,15.40,,,1014.90,24.63,30.85
335,00:05:35,,,11.33,1.09,12.36,,,1014.90,24.63,30.85
352.25,00:05:52,9.34,700.83,10.57,1.95,20.65,29.47,16.61,1014.90,24.63,30.87
358.92,00:05:58,10.22,766.50,14.34,1.43,20.62,26.90,16.10,1014.90,24.63,30.85
360.87,00:06:00,7.52,564.33,15.20,1.06,16.21,28.72,16.27,1014.90,24.62,30.85
364.77,00:06:04,10.17,763.00,14.06,1.35,19.00,24.90,15.68,1014.90,24.62,30.87
381.39,00:06:21,,,12.95,1.03,13.41,,,1014.80,24.62,30.88
387.46,00:06:27,10.91,818.00,15.76,1.40,22.12,27.04,16.11,1014.90,24.62,30.85
390.65,00:06:30,11.66,874.83,13.67,1.72,23.63,27.01,16.18,1014.90,24.62,30.88
393.95,00:06:33,9.14,685.33,13.93,1.25,17.45,25.46,15.76,1014.90,24.62,30.85
404.37,00:06:44,,,6.27,2.40,15.06,,,1014.90,24.62,30.87
406.44,00:06:46,7.93,595.00,20.87,0.79,16.61,27.92,15.95,1014.90,24.62,30.87
409.62,00:06:49,,,18.29,0.44,8.06,,,1014.90,24.62,30.86
419.3,00:06:59,,,6.21,2.26,14.07,,,1014.90,24.62,30.89
423.85,00:07:03,10.77,807.83,17.73,1.18,20.93,25.91,15.82,1014.90,24.62,30.90
426.15,00:07:06,11.80,884.83,17.41,1.28,22.39,25.30,15.74,1014.90,24.62,30.91
433.83,00:07:13,,,8.76,2.77,24.30,,,1014.90,24.62,30.90
438.43,00:07:18,9.91,743.33,11.43,1.68,19.32,25.99,15.98,1014.90,24.61,30.87
440.93,00:07:20,7.50,562.50,24.01,0.65,15.81,28.11,15.82,1014.90,24.61,30.87
445.81,00:07:25,10.56,791.67,11.39,1.69,19.30,24.38,15.66,1014.90,24.61,30.87
451.56,00:07:31,11.70,877.50,15.62,1.47,22.98,26.19,15.97,1014.90,24.61,30.85
454.47,00:07:34,10.32,774.00,15.66,1.26,19.87,25.67,15.81,1014.80,24.62,30.85
458.63,00:07:38,11.20,840.00,13.58,1.63,22.20,26.43,16.06,1014.90,24.61,30.84
462.26,00:07:42,13.23,992.00,18.37,1.62,29.87,30.11,16.65,1014.90,24.62,30.85
465.66,00:07:45,12.25,918.50,16.65,1.51,25.23,27.47,16.21,1014.90,24.61,30.84
468.97,00:07:48,13.17,987.83,21.85,1.26,27.61,27.95,16.23,1014.90,24.61,30.83
471.27,00:07:51,10.86,814.83,24.51,0.96,23.55,28.90,16.24,1014.90,24.61,30.82
473.85,00:07:53,11.88,890.67,23.02,1.15,26.57,29.83,16.48,1014.90,24.61,30.80
