Time[s],Error[code],Description
-51.9,209,Error Code: 209
-51.9,209,Error Code: 209
-50,168,Error Code: 168
-49.8,168,Error Code: 168
-49.5,184,Error Code: 184
-49.3,122,Breath rejected; segment too short.
-46.6,209,Error Code: 209
-46,168,Error Code: 168
-45.8,168,Error Code: 168
-45.6,168,Error Code: 168
-45.5,168,Error Code: 168
-41.3,168,Error Code: 168
-39.7,209,Error Code: 209
-39.7,209,Error Code: 209
-39.7,209,Error Code: 209
-39.7,209,Error Code: 209
-39.3,168,Error Code: 168
-39.2,168,Error Code: 168
-36.5,209,Error Code: 209
-36.4,209,Error Code: 209
-35.6,197,Error Code: 197
-29.1,196,Error Code: 196
-28.1,209,Error Code: 209
-26.3,191,Error Code: 191
-17.6,197,Error Code: 197
-7,209,Error Code: 209
-6.8,209,Error Code: 209
-6.3,168,Error Code: 168
-6.2,168,Error Code: 168
-5.9,168,Error Code: 168
-5.9,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,121,Breath rejected; too jittery.
0,168,Error Code: 168
0,168,Error Code: 168
0,191,Error Code: 191
0,168,Error Code: 168
0,168,Error Code: 168
0,197,Error Code: 197
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,56,Breathing less than valve trigger.
0,197,Error Code: 197
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,121,Breath rejected; too jittery.
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,191,Error Code: 191
0,209,Error Code: 209
0,168,Error Code: 168
0,191,Error Code: 191
0,191,Error Code: 191
0,209,Error Code: 209
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,191,Error Code: 191
0,168,Error Code: 168
0,191,Error Code: 191
0,121,Breath rejected; too jittery.
0,209,Error Code: 209
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,191,Error Code: 191
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,122,Breath rejected; segment too short.
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,121,Breath rejected; too jittery.
0,168,Error Code: 168
0,209,Error Code: 209
0,122,Breath rejected; segment too short.
0,168,Error Code: 168
0,197,Error Code: 197
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,121,Breath rejected; too jittery.
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,121,Breath rejected; too jittery.
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,121,Breath rejected; too jittery.
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,56,Breathing less than valve trigger.
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,197,Error Code: 197
0,191,Error Code: 191
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
0,197,Error Code: 197
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0,168,Error Code: 168
