Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
1.58,00:00:01,2.85,284.00,15.21,0.60,9.15,32.22,16.39,1013.70,23.15,33.57
5.18,00:00:05,3.41,340.17,16.40,0.68,11.23,33.01,16.61,1013.70,23.15,33.53
9.29,00:00:09,3.02,301.50,16.25,0.58,9.55,31.67,16.29,1013.70,23.15,33.51
12.84,00:00:12,2.90,288.83,15.54,0.62,9.64,33.38,16.57,1013.70,23.15,33.47
17.25,00:00:17,2.65,264.00,14.93,0.61,9.18,34.77,16.74,1013.60,23.15,33.44
20.55,00:00:20,3.13,311.67,15.45,0.75,11.67,37.44,17.18,1013.60,23.16,33.42
25.49,00:00:25,2.88,287.50,12.63,0.79,9.99,34.75,16.92,1013.50,23.15,33.39
28.47,00:00:28,3.34,332.67,19.25,0.59,11.45,34.42,16.66,1013.70,23.15,33.37
32.1,00:00:32,3.43,342.33,16.20,0.74,12.02,35.11,16.93,1013.70,23.17,33.32
35.81,00:00:35,3.26,324.83,16.26,0.65,10.71,32.97,16.57,1013.70,23.16,33.29
39.79,00:00:39,2.88,287.33,15.68,0.60,9.53,33.17,16.53,1013.70,23.16,33.27
44.05,00:00:44,2.67,265.83,14.85,0.59,8.81,33.14,16.50,1013.70,23.16,33.23
47.66,00:00:47,3.00,299.33,16.07,0.62,10.08,33.68,16.62,1013.70,23.16,33.20
51.13,00:00:51,3.12,311.50,16.96,0.59,10.16,32.62,16.44,1013.60,23.16,33.17
54.99,00:00:54,3.37,335.50,15.93,0.67,10.82,32.25,16.50,1013.70,23.17,33.18
58.91,00:00:58,3.41,340.00,15.54,0.69,10.85,31.91,16.47,1013.70,23.16,33.19
62.45,00:01:02,3.29,327.83,16.08,0.66,10.68,32.58,16.53,1013.70,23.17,33.13
66.57,00:01:06,2.84,283.00,15.39,0.59,9.16,32.37,16.40,1013.70,23.17,33.12
72.82,00:01:12,2.37,236.50,9.84,0.73,7.25,30.66,16.33,1013.60,23.17,33.09
75.9,00:01:15,2.79,277.83,17.47,0.53,9.35,33.65,16.46,1013.70,23.17,33.09
79.43,00:01:19,2.93,291.67,17.39,0.56,9.79,33.57,16.51,1013.70,23.17,33.10
83.17,00:01:23,3.07,306.17,16.07,0.62,10.10,32.99,16.53,1013.70,23.18,33.08
87.01,00:01:27,2.83,282.33,16.23,0.56,9.17,32.48,16.36,1013.70,23.18,33.09
90.76,00:01:30,2.73,271.83,16.95,0.53,9.09,33.44,16.44,1013.70,23.19,33.07
93.67,00:01:33,2.85,284.50,18.10,0.54,9.79,34.41,16.57,1013.70,23.19,33.06
97.2,00:01:37,2.76,274.83,16.93,0.55,9.40,34.20,16.57,1013.70,23.18,33.07
101.51,00:01:41,2.52,251.33,14.73,0.56,8.37,33.30,16.48,1013.70,23.19,33.07
104.93,00:01:44,2.74,273.67,16.26,0.59,9.66,35.30,16.77,1013.70,23.19,33.07
108.74,00:01:48,2.59,258.67,16.24,0.54,8.90,34.41,16.59,1013.70,23.20,33.06
112.73,00:01:52,2.52,251.33,15.77,0.54,8.64,34.38,16.58,1013.70,23.19,33.06
116.66,00:01:56,2.58,256.83,14.46,0.61,8.85,34.46,16.70,1013.70,23.20,33.05
121.12,00:02:01,2.39,238.67,14.20,0.56,8.06,33.77,16.54,1013.70,23.20,33.04
124.72,00:02:04,2.65,264.17,15.98,0.59,9.54,36.11,16.87,1013.70,23.21,33.04
129.06,00:02:09,2.36,235.17,14.84,0.52,7.77,33.04,16.35,1013.60,23.21,33.06
132.87,00:02:12,2.69,268.00,14.65,0.62,9.13,34.07,16.67,1013.70,23.22,33.03
136.79,00:02:16,2.83,282.00,15.57,0.59,9.31,33.01,16.49,1013.70,23.22,33.04
140.72,00:02:20,2.86,285.33,14.86,0.63,9.47,33.19,16.57,1013.60,23.22,33.03
144.74,00:02:24,2.55,254.33,15.53,0.54,8.49,33.38,16.45,1013.70,23.23,33.03
148.96,00:02:28,2.21,220.67,14.92,0.49,7.44,33.72,16.39,1013.70,23.23,33.03
152.47,00:02:32,2.62,261.17,15.94,0.58,9.34,35.76,16.82,1013.70,23.23,33.03
156.27,00:02:36,2.70,269.00,15.93,0.57,9.17,34.09,16.59,1013.70,23.23,33.03
159.99,00:02:39,2.52,251.50,15.83,0.53,8.47,33.68,16.47,1013.70,23.24,33.03
164.06,00:02:44,2.48,247.33,15.18,0.56,8.50,34.37,16.60,1013.80,23.24,33.05
167.77,00:02:47,2.47,246.00,16.17,0.52,8.47,34.43,16.54,1013.70,23.25,33.04
171.72,00:02:51,2.55,254.50,14.93,0.56,8.47,33.28,16.48,1013.70,23.25,33.05
175.76,00:02:55,2.39,238.00,14.83,0.53,7.94,33.36,16.42,1013.70,23.25,33.04
179.81,00:02:59,2.69,268.00,15.40,0.58,9.04,33.73,16.57,1013.70,23.26,33.05
183.74,00:03:03,2.57,256.67,14.85,0.55,8.25,32.14,16.29,1013.70,23.26,33.06
187.63,00:03:07,2.51,250.67,15.31,0.55,8.43,33.63,16.49,1013.70,23.26,33.06
191.57,00:03:11,2.49,248.67,14.97,0.54,8.22,33.06,16.41,1013.70,23.27,33.05
195.61,00:03:15,2.63,262.33,15.36,0.57,8.79,33.51,16.51,1013.70,23.27,33.07
199.13,00:03:19,2.87,286.50,15.91,0.59,9.49,33.12,16.50,1013.70,23.28,33.07
203.42,00:03:23,2.63,262.50,15.61,0.54,8.44,32.15,16.26,1013.70,23.28,33.07
206.93,00:03:26,2.72,271.67,15.32,0.59,9.11,33.53,16.56,1013.70,23.29,33.06
210.75,00:03:30,2.82,281.33,16.01,0.58,9.31,33.09,16.47,1013.60,23.30,33.08
214.36,00:03:34,3.01,299.83,16.27,0.61,9.98,33.29,16.55,1013.70,23.30,33.07
218.25,00:03:38,2.90,289.17,16.11,0.59,9.51,32.89,16.46,1013.60,23.31,33.06
221.99,00:03:41,3.10,309.33,16.24,0.63,10.31,33.33,16.59,1013.70,23.32,33.08
225.39,00:03:45,2.77,276.50,16.32,0.57,9.31,33.67,16.53,1013.70,23.32,33.09
229.77,00:03:49,2.59,258.00,14.57,0.59,8.65,33.53,16.55,1013.70,23.32,33.08
233.71,00:03:53,2.50,249.33,15.15,0.54,8.31,33.33,16.45,1013.70,23.33,33.07
237.64,00:03:57,2.39,238.33,15.45,0.52,8.06,33.82,16.46,1013.70,23.33,33.09
241.77,00:04:01,2.46,245.00,15.00,0.55,8.26,33.71,16.50,1013.80,23.34,33.10
245.28,00:04:05,2.54,253.00,15.68,0.53,8.43,33.32,16.42,1013.70,23.34,33.09
249.42,00:04:09,2.54,253.00,14.28,0.57,8.16,32.25,16.34,1013.60,23.35,33.09
253.67,00:04:13,2.47,246.67,14.81,0.54,8.03,32.55,16.33,1013.70,23.35,33.08
257.61,00:04:17,2.66,265.00,15.25,0.58,8.91,33.62,16.55,1013.70,23.37,33.09
260.86,00:04:20,2.92,291.00,16.74,0.61,10.32,35.46,16.83,1013.60,23.36,33.09
265.04,00:04:25,2.80,279.17,15.03,0.67,10.17,36.43,17.01,1013.60,23.37,33.07
268.88,00:04:28,2.82,281.17,15.39,0.68,10.56,37.56,17.13,1013.60,23.37,33.06
272.92,00:04:32,2.71,270.17,15.23,0.63,9.73,36.01,16.92,1013.70,23.38,33.05
