Time[s],Error[code],Description
-159.2,122,Breath rejected; segment too short.
-158,53,User piece too big.
-140.6,151,Error Code: 151
-137.8,197,Error Code: 197
-135.6,168,Error Code: 168
-135.5,168,Error Code: 168
-135.3,168,Error Code: 168
-132.6,168,Error Code: 168
-132.6,168,Error Code: 168
-107,168,Error Code: 168
-107,168,Error Code: 168
-106.7,168,Error Code: 168
-11,168,Error Code: 168
-10.9,168,Error Code: 168
-10.8,168,Error Code: 168
-8.8,197,Error Code: 197
-7.2,209,Error Code: 209
-7.2,209,Error Code: 209
-7.1,209,Error Code: 209
-6.7,191,Error Code: 191
-0.7,209,Error Code: 209
0,197,Error Code: 197
0,209,Error Code: 209
0,209,Error Code: 209
0,209,Error Code: 209
0,191,Error Code: 191
0,168,Error Code: 168
0,168,Error Code: 168
0,209,Error Code: 209
0,168,Error Code: 168
0.5,168,Error Code: 168
1.7,168,Error Code: 168
2.1,168,Error Code: 168
28.8,209,Error Code: 209
32.9,191,Error Code: 191
76.4,197,Error Code: 197
106.3,209,Error Code: 209
149.7,209,Error Code: 209
153.3,191,Error Code: 191
164.6,197,Error Code: 197
180.2,197,Error Code: 197
287.9,64,Ventilation out of range.
297.8,53,User piece too big.
301.4,197,Error Code: 197
301.4,209,Error Code: 209
477.6,197,Error Code: 197
488.8,197,Error Code: 197
520.5,209,Error Code: 209
523.4,191,Error Code: 191
531.4,64,Ventilation out of range.
571.2,53,User piece too big.
600.9,209,Error Code: 209
600.9,209,Error Code: 209
600.9,197,Error Code: 197
600.9,197,Error Code: 197
600.9,122,Breath rejected; segment too short.
600.9,209,Error Code: 209
600.9,209,Error Code: 209
600.9,168,Error Code: 168
600.9,168,Error Code: 168
600.9,168,Error Code: 168
600.9,168,Error Code: 168
600.9,168,Error Code: 168
600.9,61,Low battery.
600.9,197,Error Code: 197
600.9,197,Error Code: 197
600.9,209,Error Code: 209
600.9,191,Error Code: 191
600.9,209,Error Code: 209
600.9,168,Error Code: 168
600.9,168,Error Code: 168
600.9,191,Error Code: 191
600.9,209,Error Code: 209
600.9,209,Error Code: 209
600.9,209,Error Code: 209
601.2,191,Error Code: 191
796.9,209,Error Code: 209
904.8,209,Error Code: 209
906.6,209,Error Code: 209
906.7,209,Error Code: 209
915.7,168,Error Code: 168
915.7,168,Error Code: 168
917,209,Error Code: 209
917,209,Error Code: 209
917.5,168,Error Code: 168
917.8,168,Error Code: 168
917.9,168,Error Code: 168
917.9,168,Error Code: 168
1027.6,209,Error Code: 209
1107.1,209,Error Code: 209
1109.1,191,Error Code: 191
1148,209,Error Code: 209
1201,209,Error Code: 209
1201,191,Error Code: 191
1201,209,Error Code: 209
1201,209,Error Code: 209
1201,209,Error Code: 209
1201,191,Error Code: 191
1201,209,Error Code: 209
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,209,Error Code: 209
1201,209,Error Code: 209
1201,191,Error Code: 191
1201,122,Breath rejected; segment too short.
1201,209,Error Code: 209
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,209,Error Code: 209
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,168,Error Code: 168
1201,191,Error Code: 191
1281.1,197,Error Code: 197
1296.2,197,Error Code: 197
1407.2,209,Error Code: 209
1408.3,191,Error Code: 191
1459.3,209,Error Code: 209
1460.6,191,Error Code: 191
1462.4,73,Error Code: 73
1539.1,209,Error Code: 209
1539.2,209,Error Code: 209
1539.2,209,Error Code: 209
1539.3,209,Error Code: 209
1547.2,209,Error Code: 209
1548.3,191,Error Code: 191
1549.8,209,Error Code: 209
1551.2,209,Error Code: 209
1551.2,209,Error Code: 209
1551.2,168,Error Code: 168
1551.2,168,Error Code: 168
1551.2,168,Error Code: 168
1551.2,168,Error Code: 168
1551.2,209,Error Code: 209
1551.2,191,Error Code: 191
1551.2,209,Error Code: 209
1551.2,209,Error Code: 209
1551.2,73,Error Code: 73
1551.8,73,Error Code: 73
1555.5,73,Error Code: 73
1569.4,209,Error Code: 209
1570.6,197,Error Code: 197
1571.2,209,Error Code: 209
1575,209,Error Code: 209
1580.4,73,Error Code: 73
1583.2,197,Error Code: 197
1583.4,209,Error Code: 209
1584.6,191,Error Code: 191
1586.2,73,Error Code: 73
1593,209,Error Code: 209
1610.8,73,Error Code: 73
1614.9,73,Error Code: 73
1618.8,73,Error Code: 73
1620.6,73,Error Code: 73
1632.9,73,Error Code: 73
1638.8,73,Error Code: 73
1642.8,73,Error Code: 73
1654.9,73,Error Code: 73
1662.7,73,Error Code: 73
1672.5,73,Error Code: 73
1689.4,73,Error Code: 73
1691.2,73,Error Code: 73
1694.8,73,Error Code: 73
1698.5,73,Error Code: 73
1700.4,73,Error Code: 73
1702.1,73,Error Code: 73
1705.9,73,Error Code: 73
1708.1,73,Error Code: 73
1722.3,73,Error Code: 73
1743.9,73,Error Code: 73
1745.5,73,Error Code: 73
1747.7,73,Error Code: 73
1753.3,73,Error Code: 73
